City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mirandopolis,-21.1336,-51.1017,22.88,89,97,0.97,BR,1675554836
1,albany,42.6001,-73.9662,-10.79,49,72,1.62,US,1675554801
2,flinders,-34.5833,150.8552,26.7,43,0,2.68,AU,1675554837
3,ulagan,50.6321,87.9563,-8.76,93,100,0.83,RU,1675554838
4,saint-philippe,-21.3585,55.7679,24.77,86,99,4.53,RE,1675554838
5,hilo,19.7297,-155.09,25.16,75,100,4.12,US,1675554777
6,fortuna,40.5982,-124.1573,16.86,63,75,10.29,US,1675554839
7,muhororo,0.9381,30.7594,17.83,44,100,0.84,UG,1675554840
8,alekseyevsk,57.8406,108.3492,-13.65,96,100,2.96,RU,1675554840
9,cape town,-33.9258,18.4232,21.6,91,75,3.09,ZA,1675554772
10,hermanus,-34.4187,19.2345,22.11,93,30,2.76,ZA,1675554781
11,port blair,11.6667,92.75,26.02,89,40,2.57,IN,1675554842
12,kununurra,-15.7667,128.7333,27.99,74,100,2.06,AU,1675554842
13,bethel,41.3712,-73.414,-6.95,40,100,2.06,US,1675554843
14,mataura,-46.1927,168.8643,20.61,81,100,1.43,NZ,1675554844
15,yago,21.8333,-105.0667,27.84,40,77,2.45,MX,1675554845
16,atuona,-9.8,-139.0333,25.88,75,28,7.75,PF,1675554526
17,vardo,70.3705,31.1107,-8.01,79,82,4.63,NO,1675554846
18,east london,-33.0153,27.9116,23.2,81,100,5.37,ZA,1675554846
19,wagar,16.1525,36.2032,19.28,65,83,6.4,SD,1675554682
20,bambous virieux,-20.3428,57.7575,26.14,83,75,1.54,MU,1675554848
21,trairi,-3.2778,-39.2689,25.65,84,67,3.54,BR,1675554594
22,kapaa,22.0752,-159.319,24.18,88,100,7.72,US,1675554769
23,pevek,69.7008,170.3133,-37.28,100,94,1.04,RU,1675554573
24,nishihara,26.1842,127.7558,17.6,82,75,4.63,JP,1675554850
25,lubango,-14.9172,13.4925,15.35,85,99,0.84,AO,1675554851
26,barrow,71.2906,-156.7887,-30.99,76,40,4.12,US,1675554780
27,bluff,-46.6,168.3333,16.02,93,100,3.98,NZ,1675554768
28,hambantota,6.1241,81.1185,24.03,86,58,5.01,LK,1675554853
29,tigre,-34.426,-58.5796,25.08,63,0,1.34,AR,1675554854
30,tinalmud,13.5941,122.878,25.34,83,63,4.73,PH,1675554855
31,bathsheba,13.2167,-59.5167,26.34,78,75,8.75,BB,1675554856
32,carnarvon,-24.8667,113.6333,26.74,68,1,3.99,AU,1675554857
33,ushuaia,-54.8,-68.3,12.81,58,75,6.17,AR,1675554766
34,katsuura,35.1333,140.3,8.53,62,16,6.33,JP,1675554858
35,paita,-5.0892,-81.1144,23.86,77,92,4.45,PE,1675554858
36,iskateley,67.6803,53.1512,-18.45,99,56,2.73,RU,1675554859
37,busselton,-33.65,115.3333,24.48,38,77,2.77,AU,1675554683
38,rikitea,-23.1203,-134.9692,26.19,74,3,5.57,PF,1675554480
39,olinda,-8.0089,-34.8553,26.85,78,75,1.54,BR,1675554861
40,puerto ayora,-0.7393,-90.3518,26.97,91,60,3.58,EC,1675554780
41,waingapu,-9.6567,120.2641,24.77,89,100,3.46,ID,1675554862
42,lata,40.1629,-8.3327,3.93,65,0,2.02,PT,1675554862
43,vaini,-21.2,-175.2,30.09,74,75,7.2,TO,1675554683
44,khatanga,71.9667,102.5,-39.76,100,48,2.06,RU,1675554864
45,daru,-9.0763,143.2092,24.25,93,100,3.92,PG,1675554864
46,camargo,27.6667,-105.1667,21.33,20,3,1.31,MX,1675554865
47,lompoc,34.6391,-120.4579,18.25,77,100,4.12,US,1675554866
48,saravan,39.7196,45.6483,-6.83,92,100,1.14,AM,1675554867
49,port hedland,-20.3167,118.5667,29.03,65,14,4.63,AU,1675554868
50,nurota,40.5614,65.6886,3.17,62,32,1.9,UZ,1675554868
51,airai,-8.9266,125.4092,18.03,83,98,1.24,TL,1675554771
52,humaita,-7.5061,-63.0208,23.53,94,72,0.74,BR,1675554869
53,hobart,-42.8794,147.3294,22.25,52,20,2.06,AU,1675554492
54,chokurdakh,70.6333,147.9167,-31.19,97,84,3.87,RU,1675554765
55,saskylakh,71.9167,114.0833,-33.67,97,92,1.53,RU,1675554588
56,punta arenas,-53.15,-70.9167,12.06,94,100,6.69,CL,1675554871
57,dikson,73.5069,80.5464,-18.99,97,100,1.35,RU,1675554699
58,ancud,-41.8697,-73.8203,16.85,83,38,1.38,CL,1675554648
59,fabriano,43.3406,12.9073,6.27,70,50,3.21,IT,1675554873
60,quelimane,-17.8786,36.8883,23.19,89,34,1.43,MZ,1675554873
61,palmer,42.1584,-72.3287,-9.31,29,100,2.57,US,1675554826
62,pochinok,54.4068,32.4407,-5.63,93,100,5.48,RU,1675554875
63,siuri,23.9167,87.5333,14.7,43,25,2.57,IN,1675554875
64,natal,-5.795,-35.2094,27.36,78,20,4.12,BR,1675554789
65,jaffna,9.6685,80.0074,24.25,81,6,4.68,LK,1675554876
66,viransehir,37.2353,39.7631,1.0,100,100,3.57,TR,1675554877
67,norman wells,65.282,-126.8329,-25.98,70,75,2.57,CA,1675554877
68,udaipura,23.0833,78.5,14.14,34,3,0.67,IN,1675554878
69,rawson,-43.3002,-65.1023,28.05,31,27,10.17,AR,1675554878
70,tasiilaq,65.6145,-37.6368,-3.91,93,100,13.44,GL,1675554879
71,lincoln,40.8,-96.667,7.95,59,0,5.14,US,1675554730
72,kodiak,57.79,-152.4072,1.73,75,40,1.54,US,1675554880
73,clyde river,70.4692,-68.5914,-25.87,58,100,8.23,CA,1675554881
74,tuktoyaktuk,69.4541,-133.0374,-42.0,66,20,1.03,CA,1675554598
75,cabedelo,-6.9811,-34.8339,27.37,79,65,5.3,BR,1675554588
76,ahipara,-35.1667,173.1667,22.3,71,100,4.57,NZ,1675554882
77,shimoda,34.6667,138.95,9.2,56,44,5.53,JP,1675554882
78,cherskiy,68.75,161.3,-38.03,100,97,1.2,RU,1675554883
79,ilulissat,69.2167,-51.1,-18.99,71,66,3.09,GL,1675554884
80,bengkulu,-3.8004,102.2655,23.56,88,100,2.01,ID,1675554884
81,erenhot,43.6475,111.9767,-7.24,38,100,2.79,CN,1675554885
82,severo-kurilsk,50.6789,156.125,-2.24,71,100,2.7,RU,1675554613
83,gamba,-2.65,10.0,23.64,95,99,2.33,GA,1675554886
84,biloela,-24.4167,150.5,30.63,56,94,2.16,AU,1675554887
85,mar del plata,-38.0023,-57.5575,19.93,72,20,2.57,AR,1675554887
86,geraldton,-28.7667,114.6,24.23,88,100,2.57,AU,1675554888
87,matay,28.419,30.7792,10.69,51,86,1.98,EG,1675554888
88,paoua,7.2427,16.4406,23.22,19,70,1.49,CF,1675554889
89,berdigestyakh,62.0989,126.6992,-33.47,99,100,1.29,RU,1675554889
90,qaanaaq,77.484,-69.3632,-20.37,59,60,1.23,GL,1675554784
91,iguatemi,-23.6803,-54.5611,22.27,76,78,0.36,BR,1675554890
92,pacific grove,36.6177,-121.9166,15.79,90,100,8.94,US,1675554891
93,thompson,55.7435,-97.8558,-18.91,71,75,1.54,CA,1675554892
94,laguna,38.421,-121.4238,15.03,77,100,3.09,US,1675554892
95,tuatapere,-46.1333,167.6833,18.04,99,100,1.49,NZ,1675554893
96,nome,64.5011,-165.4064,-8.96,79,100,3.09,US,1675554681
97,butaritari,3.0707,172.7902,27.41,81,63,8.32,KI,1675554894
98,castro,-24.7911,-50.0119,16.92,95,86,2.54,BR,1675554895
99,toyooka,35.5333,134.8333,2.03,100,75,1.54,JP,1675554895
100,churapcha,62.0025,132.4325,-35.27,100,100,0.94,RU,1675554896
101,esperance,-33.8667,121.9,22.06,53,0,6.17,AU,1675554896
102,sao filipe,14.8961,-24.4956,22.04,63,35,5.65,CV,1675554897
103,great falls,47.5002,-111.3008,7.66,53,0,9.77,US,1675554898
104,verkh-chebula,56.0308,87.6218,-23.65,100,51,0.72,RU,1675554898
105,port lincoln,-34.7333,135.8667,18.99,62,61,2.4,AU,1675554646
106,yellowknife,62.456,-114.3525,-25.71,70,75,0.0,CA,1675554786
107,krasnovishersk,60.4078,57.082,-11.91,99,100,0.55,RU,1675554900
108,aracati,-4.5617,-37.7697,27.24,74,16,5.81,BR,1675554900
109,acapulco,16.8634,-99.8901,27.6,62,2,3.32,MX,1675554893
110,klaksvik,62.2266,-6.589,4.51,79,58,13.1,FO,1675554901
111,kemin,42.7846,75.6892,0.32,70,100,3.33,KG,1675554902
112,pathein,16.7833,94.7333,20.32,73,26,2.65,MM,1675554903
113,avarua,-21.2078,-159.775,29.03,79,75,6.69,CK,1675554904
114,isangel,-19.55,169.2667,29.36,78,60,6.86,VU,1675554636
115,singaraja,-8.112,115.0882,26.47,82,100,2.14,ID,1675554906
116,hjelset,62.7833,7.4833,3.88,87,100,6.17,NO,1675554907
117,abapo,-18.8333,-63.4667,19.08,75,100,1.95,BO,1675554909
118,ayolas,-27.4,-56.9,25.38,38,68,1.69,PY,1675554910
119,zavetnoye,47.1194,43.8903,0.26,80,100,2.32,RU,1675554911
120,teya,60.3778,92.6267,-13.27,98,99,1.32,RU,1675554912
